State,Crop,Soil_Type,Fertilizer,N,P,K,Rainfall_mm,Temperature_C,Yield_kg_per_acre,Soil_pH,Year,Humidity_pct,Solar_Radiation_W_m2,Irrigation_Method,Pesticide_Usage_kg_ha
Karnataka,Soybean,Loamy,DAP,96.0,41.0,51.0,123.0,31.06,259.2933599036389,6.82,2003,52.47240713084175,505.3059312932619,Sprinkler,1.5172059665264883
Odisha,Cotton,Red Soil,Urea,29.0,36.0,112.0,247.0,33.97,231.53714428029778,6.41,2002,87.04285838459498,586.528975613525,Sprinkler,1.4476125381131224
Punjab,Groundnut,Red Soil,Compost,38.0,37.0,177.0,142.0,24.21,384.3517426975284,7.06,2015,73.9196365086843,452.3123539356165,,0.6723674224632291
Gujarat,Wheat,Red Soil,Compost,58.0,77.0,129.0,227.0,30.85,715.2690322768153,5.93,2022,65.91950905182219,667.711587018687,Sprinkler,11.696787794903376
Andhra Pradesh,Cotton,Clay,Organic,108.0,61.0,63.0,263.0,37.81,290.75799687427383,6.24,2017,39.36111842654619,353.9499100581512,Flood,0.6410419531168772
Tamil Nadu,Wheat,Loamy,Urea,65.0,46.0,30.0,205.0,32.99,244.60557163929388,5.5,2007,39.35967122017216,619.1260681631833,Sprinkler,1.206252109769155
Haryana,Wheat,Black Soil,Urea,133.0,84.0,128.0,228.0,26.29,1276.62766598722,6.92,2024,33.48501673009197,567.513705640692,Drip,0.005876741176624
Gujarat,Groundnut,Alluvial,DAP,102.0,93.0,18.0,196.0,18.99,432.0187687560781,6.21,2006,81.97056874649611,328.3966751689311,Flood,0.8592050442451802
Uttar Pradesh,Rice,Black Soil,Compost,56.0,64.0,161.0,225.0,34.74,1375.9696355306412,6.19,2023,66.06690070459253,771.0794299040533,Sprinkler,0.1482412073167725
Karnataka,Maize,Alluvial,Organic,94.0,110.0,77.0,172.0,23.31,480.12395605473023,6.41,2007,72.48435466776273,493.62547144960337,Sprinkler,2.7237871559527984
Haryana,Wheat,Red Soil,DAP,56.0,23.0,97.0,89.0,27.81,237.4830720028339,8.0,2017,31.23506965774815,412.25159778443685,Sprinkler,1.6465775781367251
Punjab,Maize,Sandy,Organic,56.0,55.0,174.0,255.0,30.73,618.2497541297367,8.0,2008,88.19459112971967,359.2912805215983,Drip,1.698067493007922
Karnataka,Maize,Sandy,Urea,83.0,38.0,32.0,133.0,29.3,206.6109410329052,6.93,2005,79.94655844802531,477.9981972340326,Flood,0.6751773196987111
Odisha,Groundnut,Alluvial,Urea,10.0,5.0,26.0,108.0,34.47,129.40368952498594,6.44,2003,42.74034664069657,487.259312761004,,3.373678035500651
Maharashtra,Groundnut,Alluvial,Compost,10.0,59.0,70.0,164.0,30.92,269.52770127721806,5.92,2014,40.90949803242604,510.2645528539665,Flood,0.0065525730027234
