Item Code,CPC Code,Item
809,'01929.07,Abaca; manila hemp; raw
800,'01929.06,Agave fibres; raw; n.e.c.
221,'01371,Almonds; in shell
711,'01654,Anise; badian; coriander; cumin; caraway; fennel and juniper berries; raw
515,'01341,Apples
526,'01343,Apricots
226,'01379.01,Areca nuts
366,'01216,Artichokes
367,'01211,Asparagus
1107,'02132,Asses
572,'01311,Avocados
839,'03211,Balata; gutta-percha; guayule; chicle and similar natural gums in primary forms or in plates; sheets or strip
203,'01708,Bambara beans; dry
486,'01312,Bananas
44,'0115,Barley
176,'01701,Beans; dry
1806,'F1806,Beef and Buffalo Meat; primary
51,'24310.01,Beer of barley; malted
1181,'02196,Bees
1183,'02960.01,Beeswax
552,'01355.01,Blueberries
216,'01377,Brazil nuts; in shell
181,'01702,Broad beans and horse beans; dry
420,'01243,Broad beans and horse beans; green
89,'01192,Buckwheat
946,'02112,Buffalo
949,'21513,Buffalo fat; unrendered
1811,'F1811,Butter and Ghee
983,'22249.01,Butter and ghee of sheep milk
952,'22242.01,Butter of buffalo milk
886,'22241.01,Butter of cow milk
1022,'22249.02,Butter of goat milk
899,'22230.04,Buttermilk; dry
358,'01212,Cabbages
1126,'02121.01,Camels
101,'01195,Canary seed
568,'01229,Cantaloupes and other melons
426,'01251,Carrots and turnips
217,'01372,Cashew nuts; in shell
591,'01359.02,Cashewapple
378,'01219.01,Cassava leaves
125,'01520.01,Cassava; fresh
265,'01447,Castor oil seeds
866,'02111,Cattle
1746,'F1746,Cattle and Buffaloes
869,'21512,Cattle fat; unrendered
393,'01213,Cauliflowers and broccoli
108,'01199.90,Cereals n.e.c.
1717,'F1717,Cereals; primary
1745,'F1745,Cheese (All Kinds)
955,'22252,Cheese from milk of buffalo; fresh or processed
1021,'22254,Cheese from milk of goats; fresh or processed
984,'22253,Cheese from milk of sheep; fresh or processed
904,'22251.02,Cheese from skimmed cow milk
901,'22251.01,Cheese from whole cow milk
531,'01344.02,Cherries
220,'01373,Chestnuts; in shell
191,'01703,Chick peas; dry
1057,'02151,Chickens
459,'01691,Chicory roots
689,'01652,Chillies and peppers; dry (Capsicum spp.; Pimenta spp.); raw
401,'01231,Chillies and peppers; green (Capsicum spp. and Pimenta spp.)
693,'01655,Cinnamon and cinnamon-tree flowers; raw
1804,'F1804,Citrus Fruit; Total
698,'01656,Cloves (whole stems); raw
661,'01640,Cocoa beans
252,'2166,Coconut oil
249,'01460,Coconuts; in shell
656,'01610,Coffee; green
813,'01929.08,Coir; raw
767,'01921.02,Cotton lint; ginned
329,'0143,Cotton seed
331,'2168,Cottonseed oil
195,'01706,Cow peas; dry
554,'01355.02,Cranberries
885,'22120,Cream; fresh
QD,,Crops Processed
QC,,Crops; primary
1714,'F1714,Crops; primary
397,'01232,Cucumbers and gherkins
550,'01351.01,Currants
577,'01314,Dates
1068,'02154,Ducks
948,'21152,Edible offal of buffalo; fresh; chilled or frozen
868,'21151,Edible offal of cattle; fresh; chilled or frozen
1018,'21156,Edible offal of goat; fresh; chilled or frozen
1036,'21153,Edible offal of pigs; fresh; chilled or frozen
