Crop,Rainfall_mm,Temperature_C,Fertilizer_Used,Irrigation_Used,Weather_Condition,Soil_Type,Region,Nitrogen,Phosphorus,Potassium,Soil_pH,Yield_kg_per_acre
Barley,1168.3,26.4,1,0,Sunny,Peaty,South,64,33,51,4.91,2167.0
Sugarcane,400.0,38.3,0,0,Rainy,Chalky,West,93,83,73,6.08,4645.5
Cotton,761.1,22.2,0,0,Stormy,Loamy,East,118,99,61,6.58,1317.0
Barley,1632.7,26.0,0,0,Windy,Loamy,East,51,29,112,7.98,2364.5
Maize,893.2,25.5,1,1,Cloudy,Clay,East,48,50,80,7.32,3162.5
Sorghum,1307.0,24.3,0,0,Sunny,Silty,West,70,55,114,5.76,2161.8
Cotton,596.4,30.1,1,0,Stormy,Sandy,Central,117,29,32,8.43,1183.3
Cotton,1034.6,40.4,0,1,Windy,Loamy,Central,132,45,99,6.48,1800.1
Barley,545.3,25.1,1,0,Stormy,Peaty,South,92,39,61,7.5,2104.3
Wheat,1020.3,30.1,1,1,Sunny,Clay,Central,82,63,31,5.58,2999.1
Maize,1152.7,15.5,0,1,Cloudy,Sandy,Central,77,81,117,4.58,2779.2
Barley,1081.5,24.6,1,1,Stormy,Clay,East,81,92,88,5.37,2303.5
Maize,796.5,36.3,1,1,Rainy,Sandy,East,111,98,102,4.5,3187.2
Maize,982.5,26.7,1,1,Windy,Sandy,South,87,28,106,8.19,3077.8
Sorghum,985.3,30.0,1,0,Stormy,Chalky,North,106,90,43,6.67,1589.2
Cotton,1099.8,23.3,0,0,Windy,Loamy,South,105,43,80,5.76,1586.5
Sugarcane,862.9,28.5,0,0,Rainy,Clay,South,55,31,40,6.86,4957.3
Sorghum,1179.3,36.8,0,1,Cloudy,Clay,West,122,79,107,6.65,2256.1
Sorghum,1330.4,20.0,1,0,Cloudy,Chalky,West,133,97,109,7.0,2197.6
Maize,804.6,40.1,1,0,Rainy,Peaty,South,55,35,39,7.47,2855.2
Soybean,913.9,17.7,0,0,Windy,Peaty,South,70,48,113,6.27,1578.7
Cotton,628.6,24.1,0,0,Stormy,Loamy,South,97,51,109,5.8,1044.4
Wheat,1002.1,22.0,1,1,Rainy,Loamy,Central,67,54,87,7.16,2976.0
Sorghum,1004.0,25.4,0,0,Sunny,Silty,West,43,62,63,7.14,2070.1
Sugarcane,917.4,21.9,0,1,Windy,Chalky,South,49,72,109,6.58,5207.1
Soybean,940.0,21.5,1,1,Cloudy,Peaty,East,90,39,107,8.24,2245.6
Soybean,1476.5,19.9,0,0,Rainy,Sandy,East,57,27,82,6.15,1918.4
Wheat,100.0,30.9,1,1,Cloudy,Clay,Central,86,61,57,5.78,2513.9
Sorghum,751.0,25.6,0,1,Windy,Loamy,Central,71,96,47,6.83,1902.0
Sugarcane,796.9,24.0,1,1,Cloudy,Clay,North,69,89,55,5.96,5409.8
Cotton,1337.1,28.7,1,1,Rainy,Clay,North,75,35,36,6.9,1810.3
