State,Crop,Soil_Type,Fertilizer,N,P,K,Rainfall_mm,Temperature_C,Yield_kg_per_acre,Soil_pH,Year
Karnataka,Soybean,Loamy,DAP,56,41,51,120,31.06,1839,6.82,2003
Odisha,Cotton,Red Soil,Urea,29,36,112,247,33.97,1062,6.41,2002
Punjab,Groundnut,Red Soil,Compost,37,38,177,142,24.21,1463,7.06,2015
Gujarat,Wheat,Red Soil,Compost,58,77,129,227,30.85,2373,5.93,2022
Andhra Pradesh,Cotton,Clay,Organic,108,61,63,263,37.03,1497,6.24,2017
Madhya Pradesh,Cotton,Loamy,DAP,30,93,99,145,30.51,845,7.57,2019
Kerala,Tea,Red Soil,Urea,112,89,112,140,32.94,1979,7.25,2014
Bihar,Barley,Black,DAP,131,19,17,207,22.37,1649,6.65,2012
Punjab,Maize,Loamy,Organic,84,69,162,284,19.2,787,5.64,2001
Tamil Nadu,Cotton,Sandy,Urea,97,80,100,179,20.62,5184,6.57,2018
Bihar,Cotton,Red Soil,Compost,126,75,183,111,30.12,3222,6.67,2023
Maharashtra,Groundnut,Red Soil,DAP,109,19,96,98,34.99,2618,7.82,2012
Karnataka,Soybean,Red Soil,NPK,113,25,167,186,18.9,761,7.1,2023
Gujarat,Barley,Sandy,Compost,62,23,184,141,32.68,3695,6.28,2010
Maharashtra,Tea,Loamy,Compost,11,64,186,208,24.83,1626,6.81,2021
Haryana,Coffee,Black,Urea,97,97,184,173,27.57,1545,5.67,2014
Maharashtra,Wheat,Red Soil,Compost,47,93,93,275,36.58,2469,7.93,2009
Haryana,Rice,Red Soil,DAP,139,37,91,110,24.64,2153,6.4,2008
Kerala,Sugarcane,Loamy,NPK,30,53,155,297,27.31,933,6.69,2008
West Bengal,Soybean,Red Soil,Organic,67,100,77,256,18.27,1730,6.39,2019
West Bengal,Groundnut,Red Soil,NPK,31,117,170,97,19.63,957,7.21,2000
Punjab,Groundnut,Sandy,DAP,98,39,136,202,23.17,993,7.16,2016
Maharashtra,Cotton,Clay,Urea,58,48,173,213,18.56,2526,7.29,2011
West Bengal,Pulses,Loamy,DAP,68,106,91,185,30.63,1991,6.17,2009
Madhya Pradesh,Rice,Loamy,Compost,24,94,156,250,26.53,4446,6.29,2004
Maharashtra,Soybean,Loamy,Urea,60,15,165,299,28.96,1164,5.81,2017
