Year,State,Crop,Season,Area,Annual_Rainfall,Fertilizer,Pesticide,Yield
2009,Madhya Pradesh,Sweet potato,Whole Year,3497.0,904.1,544902.54,594.49,6.02
2001,Nagaland,Jute,Kharif,300.0,1532.0,30639.0,78.0,0.986667
2004,Jharkhand,Sugarcane,Whole Year,542.97,1149.2,58825.37,114.02,25.71
2014,Bihar,Lentil,Rabi,23511.35,1246.4,3900.04,63.11,0.975
2011,Jammu and Kashmir,Potato,Kharif,1015.0,887.6,170032.8,334.95,7.66125
2015,Odisha,Potato,Winter,5626.0,1210.1,888401.66,1856.58,9.88963
2004,Uttar Pradesh,Arhar/Tur,Kharif,346484.41,782.6,26009.18,2270.73,0.814756
2018,Jammu and Kashmir,Peas & beans (Pulses),Kharif,330.0,1016.3,53526.0,115.5,3.848333
2006,Assam,Peas & beans (Pulses),Rabi,19143.0,1774.9,2444752.53,4211.46,0.616667
2018,Andhra Pradesh,Castor seed,Kharif,34682.0,1220.5,5625420.4,12138.7,0.374286
2017,Puducherry,Turmeric,Kharif,8.0,1582.4,1259.52,3.04,3.0
2020,Madhya Pradesh,Arhar/Tur,Kharif,265674.08,919.0,60528.25,3682.69,1.275044
2013,Karnataka,Mango,Whole Year,64293.81,1446.2,14660.25,82.79,7.087374
2013,Puducherry,Dry chillies,Kharif,1.0,1083.2,144.49,0.27,4.0
2009,Odisha,Moong(Green Gram),Autumn,21731.0,1330.3,3386124.42,3694.27,0.338
2008,Uttarakhand,Other Cereals,Kharif,70562.0,1363.7,10093188.48,6350.58,1.101818
2020,Rajasthan,Barley,Rabi,54029.9,316.5,10600.39,295.63,2.650873
2000,Tripura,Rice,Kharif,243070.0,2437.5,23862181.9,63198.2,2.185
2006,Jammu and Kashmir,Groundnut,Kharif,39.0,1786.5,4980.69,8.58,0.5
2004,Tamil Nadu,Tapioca,Whole Year,110589.0,1034.0,11981212.26,23223.69,41.5525
2012,Chhattisgarh,Gram,Rabi,267890.0,1366.8,40397812.0,83045.9,1.114615
2011,Meghalaya,Linseed,Rabi,85.0,4083.1,14239.2,28.05,0.48
2020,Bihar,Gram,Rabi,410709.15,1739.3,99606.41,1557.75,1.130449
2009,Sikkim,Small millets,Kharif,4250.0,2176.6,662235.0,722.5,0.99
2012,Himachal Pradesh,Linseed,Rabi,932.0,1035.0,140545.6,288.92,0.365
2014,Tamil Nadu,Ginger,Whole Year,311.0,911.3,46948.56,102.63,4.132222
2016,Kerala,Groundnut,Whole Year,358.0,2924.3,54863.5,125.3,1.41
2014,Jharkhand,Maize,Autumn,106524.0,1156.6,16080863.04,35152.92,1.71625
2018,Uttar Pradesh,Small millets,Kharif,6078.0,792.8,985851.6,2127.3,0.75
2015,Sikkim,Small millets,Kharif,2853.0,2949.1,450517.23,941.49,1.0175
2008,Jammu and Kashmir,Urad,Rabi,11.0,1390.1,1573.44,0.99,0.44
2010,Maharashtra,Sugarcane,Whole Year,964500.0,1389.0,160213095.0,231480.0,73.839615
2009,Bihar,Rapeseed &Mustard,Rabi,89672.0,889.3,13972691.04,15244.24,1.084211
2001,Jammu and Kashmir,Jowar,Kharif,7.0,953.8,714.91,1.82,0.55
2005,Uttarakhand,Gram,Rabi,904.0,1353.3,108407.68,189.84,0.628
2014,Kerala,Arhar/Tur,Whole Year,1476.0,3046.4,222816.96,487.08,1.156667
2015,Telangana,Arhar/Tur,Kharif,247514.0,747.9,39084935.74,81679.62,0.496667
2010,Jammu and Kashmir,Linseed,Rabi,170.0,1352.0,28238.7,40.8,0.98
2001,Karnataka,Horse-gram,Kharif,155207.0,1002.9,15851290.91,40353.82,0.5225
2012,Himachal Pradesh,Groundnut,Kharif,22.0,1035.0,3317.6,6.82,0.8875
2011,Chhattisgarh,Bajra,Kharif,62.0,1302.7,10386.24,20.46,0.618
2016,Assam,Small millets,Kharif,4749.0,2296.8,727784.25,1662.15,0.6252
2004,Uttar Pradesh,Urad,Kharif,43688.57,1000.0,6035.82,155.84,0.493954
2008,Bihar,Safflower,Rabi,215.0,1197.7,30753.6,19.35,0.815
2003,Meghalaya,Arhar/Tur,Kharif,812.0,3321.3,80371.76,194.88,0.806667
2002,Bihar,Jowar,Kharif,4402.0,1105.8,416737.34,1100.5,1.021
2010,Andhra Pradesh,Linseed,Rabi,1129.0,1297.0,187538.19,270.96,0.15
2000,Nagaland,Arhar/Tur,Kharif,4000.0,1631.8,392680.0,1040.0,1.13125
2017,Manipur,Other  Rabi pulses,Rabi,6343.0,1780.0,998641.92,2410.34,0.931111
2012,Himachal Pradesh,Barley,Rabi,20802.0,1035.0,3136941.6,6448.62,1.756364
2014,Gujarat,Wheat,Rabi,1171449.0,605.6,176841941.0,386578.17,2.817812
2017,Andhra Pradesh,Cotton(lint),Kharif,643942.0,868.2,101382228.5,244697.96,2.660769
2006,Karnataka,Linseed,Rabi,12283.0,1146.3,1568661.93,2702.26,0.325385
2006,Chhattisgarh,Moong(Green Gram),Kharif,9516.0,1317.2,1215288.36,2093.52,0.241111
2006,Chhattisgarh,Dry chillies,Whole Year,6246.0,1317.2,797676.66,1374.12,0.319444
2017,Nagaland,Niger seed,Kharif,32840.0,1722.1,5170329.6,12479.2,1.088182
2010,Chhattisgarh,Gram,Rabi,250496.0,1283.1,41609890.56,60119.04,0.959412
2017,Karnataka,Cashewnut,Whole Year,65472.0,1111.7,10307911.68,24879.36,0.909
2007,Karnataka,Bajra,Kharif,429832.0,1323.3,57339588.8,68773.12,0.8875
2016,Goa,Coconut,Whole Year,25913.0,3266.9,3971167.25,9069.55,5087.315
2019,Chhattisgarh,Sannhamp,Kharif,471.0,1420.3,80898.96,174.27,0.405714
2013,Odisha,Potato,Winter,6151.0,1632.4,888757.99,1660.77,11.842963
2005,Haryana,Arhar/Tur,Kharif,30067.0,516.9,3605634.64,6314.07,0.7355
2010,Arunachal Pradesh,Sugarcane,Whole Year,1508.0,2574.1,250493.88,361.92,20.631111
2019,Chhattisgarh,Sesamum,Kharif,14952.0,1420.3,2568155.52,5532.24,0.412857
2013,Telangana,Dry chillies,Kharif,54378.0,1348.7,7857077.22,14682.06,2.717778
2019,Haryana,Castor seed,Kharif,6685.0,351.8,1148215.6,2473.45,0.765
2013,Himachal Pradesh,Linseed,Rabi,1087.0,1216.9,157060.63,293.49,0.2275
2004,Tripura,Masoor,Rabi,422.0,2706.3,45719.48,88.62,0.5225
2012,Delhi,Rice,Kharif,6068.0,451.9,915054.4,1881.08,3.26
2003,Punjab,Sunflower,Rabi,20000.0,451.7,1979600.0,4800.0,1.78875
2006,Madhya Pradesh,Rice,Kharif,1674013.0,1072.3,213788200.2,368282.86,0.856667
2006,Punjab,Groundnut,Kharif,4400.0,569.6,561924.0,968.0,0.837143
2002,Arunachal Pradesh,Oilseeds total,Whole Year,28494.0,2832.8,2697526.98,7123.5,1.007333
2008,Punjab,Moong(Green Gram),Kharif,8900.0,691.3,1273056.0,801.0,0.900769
2002,Himachal Pradesh,Coriander,Whole Year,263.0,890.8,24898.21,65.75,0.27625
2002,Puducherry,Rice,Kharif,24142.0,1434.6,2285523.14,6035.5,2.56
2018,Manipur,Soyabean,Kharif,4904.0,1196.9,795428.8,1716.4,0.903333
2013,Assam,Moong(Green Gram),Rabi,12184.0,1797.7,1760466.16,3289.68,0.621852
2016,West Bengal,Coconut,Whole Year,29625.0,1795.8,4540031.25,10368.75,12686.74
2005,Bihar,Horse-gram,Kharif,11744.0,907.8,1408340.48,2466.24,0.8425
2016,Tripura,Sesamum,Kharif,5590.0,2475.3,856667.5,1956.5,0.59125
2019,Rajasthan,Cotton(lint),Kharif,916642.81,402.4,165642.2,3755.13,0.57138
2011,Jammu and Kashmir,Wheat,Rabi,291994.0,887.6,48914834.88,96358.02,1.423571
2005,Manipur,Rapeseed &Mustard,Rabi,250.0,1585.4,29980.0,52.5,0.595
2003,Puducherry,Other  Rabi pulses,Rabi,141.0,1434.6,13956.18,33.84,0.99
2010,Jharkhand,Potato,Rabi,18078.0,694.6,3002936.58,4338.72,5.753333
2004,Bihar,Maize,Kharif,270973.0,1147.8,29357214.82,56904.33,1.597838
2016,Uttar Pradesh,Lentil,Rabi,35591.54,995.9,6223.32,380.02,1.03473
2015,Puducherry,Sugarcane,Kharif,1821.0,1980.6,287554.11,600.93,117.5
2018,Tamil Nadu,Black pepper,Whole Year,5571.0,986.2,903616.2,1949.85,0.16
2004,Maharashtra,Gram,Rabi,829900.0,1052.0,89911366.0,174279.0,0.53871
2001,Chhattisgarh,Other  Rabi pulses,Rabi,1024.0,1550.0,104581.12,266.24,0.326154
2011,Goa,Groundnut,Kharif,357.0,3340.4,59804.64,117.81,2.86
2006,West Bengal,Peas & beans (Pulses),Rabi,12495.0,1631.4,1595736.45,2748.9,0.679412
2014,Assam,Peas & beans (Pulses),Rabi,29952.0,1899.0,4521553.92,9884.16,0.918889
2020,Madhya Pradesh,Soyabean,Kharif,1181406.46,1256.8,212172.94,3420.47,1.57287
2004,Jammu and Kashmir,Jowar,Kharif,5977.0,1032.1,647548.18,1255.17,0.6
2012,Tripura,Other Kharif pulses,Kharif,1928.0,1882.2,290742.4,597.68,0.65625
2018,Assam,Castor seed,Kharif,724.0,2372.9,117432.8,253.4,0.62
2013,West Bengal,Rice,Autumn,210036.0,1939.9,30348101.64,56709.72,2.252778
2001,Puducherry,Banana,Whole Year,225.0,1434.6,22979.25,58.5,25.375
2007,Bihar,Garlic,Whole Year,2502.0,1600.2,333766.8,400.32,1.448
2019,Kerala,Rice,Autumn,55895.0,3119.2,9600525.2,20681.15,1.949231
2013,Meghalaya,Arecanut,Whole Year,16678.0,2448.4,2409804.22,4503.06,1.331818
2003,Uttarakhand,Groundnut,Kharif,1273.0,1734.3,126001.54,305.52,0.955
2013,Odisha,Moong(Green Gram),Autumn,24135.0,1632.4,3487266.15,6516.45,0.2575
2017,Nagaland,Masoor,Rabi,2140.0,1722.1,336921.6,813.2,0.823333
2010,Delhi,Bajra,Kharif,1531.0,989.5,254314.41,367.44,1.88
2018,Jharkhand,Potato,Rabi,121148.9,1493.4,11227.84,774.53,24.452707
2019,Bihar,Jute,Kharif,48390.0,1194.7,8311466.4,17904.3,13.32
2008,Maharashtra,Jowar,Kharif,847300.0,1052.8,121197792.0,76257.0,1.185385
2006,Gujarat,Rapeseed &Mustard,Rabi,347800.0,1056.2,44417538.0,76516.0,1.238636
2018,Karnataka,Cotton(lint),Kharif,713879.0,1419.1,115791173.8,249857.65,1.862692
2010,Chhattisgarh,Sugarcane,Whole Year,7540.0,1283.1,1252469.4,1809.6,2.692778
2000,Uttarakhand,Small millets,Kharif,73164.0,1413.4,7182509.88,19022.64,1.115455
2008,Tripura,Cotton(lint),Kharif,969.0,1827.8,138605.76,87.21,1.435
2004,Assam,Peas & beans (Pulses),Rabi,22238.0,2536.9,2409264.92,4669.98,0.596522
2014,Karnataka,Soyabean,Kharif,255538.0,1238.5,38576016.48,84327.54,0.808571
2012,Bihar,Jowar,Kharif,2631.0,924.1,396754.8,815.61,1.084286
2018,Bihar,Sunflower,Rabi,7308.0,1521.4,1185357.6,2557.8,1.3865
2017,Uttar Pradesh,Gram,Rabi,500762.0,652.1,78839969.28,190289.56,1.201449
2004,Andhra Pradesh,Safflower,Rabi,19007.0,781.8,2059218.38,3991.47,0.353636
2005,Bihar,Rice,Autumn,533233.0,907.8,63945301.36,111978.93,0.962667
2008,Andhra Pradesh,Ginger,Whole Year,2194.0,944.6,313829.76,197.46,4.525556
2010,Rajasthan,Sesamum,Kharif,31677.97,313.0,5206.17,117.57,0.620907
2009,Kerala,Cotton(lint),Kharif,1018.0,2821.5,158624.76,173.06,1.3
2012,Bihar,Sunflower,Rabi,15764.0,924.1,2377211.2,4886.84,1.449565
2014,Maharashtra,Soyabean,Kharif,3640200.0,1001.6,549524592.0,1201266.0,0.758571
2019,Meghalaya,Masoor,Rabi,1260.0,3844.4,216417.6,466.2,1.322857
2008,Tamil Nadu,Black pepper,Whole Year,3122.0,1201.9,446570.88,280.98,0.155
2019,Tripura,other oilseeds,Rabi,93.0,2252.8,15973.68,34.41,0.756667
2000,Puducherry,Groundnut,Kharif,1175.0,1434.6,115349.75,305.5,1.62
2009,Himachal Pradesh,Soyabean,Kharif,550.0,969.9,85701.0,93.5,0.774286
2000,Chhattisgarh,Horse-gram,Kharif,61595.0,896.4,6046781.15,16014.7,0.276875
2008,Andhra Pradesh,Sesamum,Kharif,46041.0,944.6,6585704.64,4143.69,0.2495
2010,Maharashtra,Mango,Whole Year,241844.75,2331.0,43186.85,1756.94,6.724677
2013,Kerala,Sugarcane,Whole Year,2210.29,3255.4,319364.8,596.78,59.561818
2019,Haryana,Garlic,Whole Year,3096.0,351.8,531768.96,1145.52,11.068
2016,West Bengal,Ragi,Autumn,9915.0,1795.8,1519473.75,3470.25,0.815
2018,Punjab,Bajra,Kharif,1100.0,585.5,178420.0,385.0,0.8
2012,Nagaland,Rice,Kharif,179780.0,1296.6,27110824.0,55731.8,2.15
2015,Maharashtra,Bajra,Kharif,800600.0,875.7,126422746.0,264198.0,0.296
2001,Odisha,Bajra,Kharif,4010.0,1672.5,409541.3,1042.6,0.555
2009,Himachal Pradesh,Sesamum,Kharif,2773.0,969.9,432088.86,471.41,0.084444
2008,Jharkhand,Potato,Rabi,16032.93,1295.2,2293350.31,1442.96,5.73375
2003,Karnataka,Maize,Kharif,545546.0,867.6,53998143.08,130931.04,2.3356
2012,Chhattisgarh,Other  Rabi pulses,Rabi,2467.0,1366.8,372023.6,764.77,0.1988
2014,Haryana,Onion,Whole Year,28688.0,301.3,4330740.48,9467.04,22.560476
2018,Jammu and Kashmir,Linseed,Rabi,151.0,1016.3,24492.2,52.85,1.12
2018,Karnataka,Coconut,Whole Year,610234.0,1419.1,98979954.8,213581.9,7502.488
2016,Meghalaya,Arhar/Tur,Kharif,1173.0,3837.1,179762.25,410.55,1.118
2013,Gujarat,Maize,Kharif,333135.0,1006.5,48134676.15,89946.45,1.345
2015,Bihar,Groundnut,Kharif,492.0,874.0,77691.72,162.36,1.0075
2014,Uttar Pradesh,Rice,Kharif,5842029.0,616.4,881912697.8,1927869.57,2.240533
2006,Himachal Pradesh,Linseed,Rabi,1472.0,1207.0,187989.12,323.84,0.223333
2004,Maharashtra,Castor seed,Kharif,12300.0,1052.0,1332582.0,2583.0,0.253182
2010,Madhya Pradesh,Potato,Whole Year,76482.0,856.3,12704425.02,18355.68,9.318163
2007,Nagaland,Linseed,Rabi,9600.0,1769.0,1280640.0,1536.0,0.7475
2002,West Bengal,Jute,Kharif,636066.0,1629.1,60216368.22,159016.5,14.352353
2019,Madhya Pradesh,Garlic,Whole Year,183713.76,1446.7,31554675.42,67974.09,10.3632
2003,Uttar Pradesh,Rice,Kharif,5719933.0,1075.6,566158968.3,1372783.92,2.066286
2000,Maharashtra,Sesamum,Kharif,131600.0,1057.8,12919172.0,34216.0,0.229688
2004,Gujarat,Potato,Whole Year,39300.0,719.8,4257762.0,8253.0,26.096667
2006,Jharkhand,Gram,Rabi,14224.57,1465.1,1816619.84,3129.41,0.758636
2004,Uttarakhand,Other Cereals,Kharif,75993.0,1219.6,8233081.62,15958.53,1.117273
2009,Jammu and Kashmir,Sugarcane,Kharif,1.0,751.7,155.82,0.17,1.5
2003,Maharashtra,Turmeric,Kharif,30301.93,1457.7,4397.65,253.17,4.845191
2001,Meghalaya,Tobacco,Whole Year,728.0,4241.0,74350.64,189.28,0.562
2019,Himachal Pradesh,Garlic,Rabi,3943.0,1217.7,677249.68,1458.91,0.672
2020,Uttarakhand,Other Cereals,Kharif,623.0,1313.9,120619.03,230.51,0.558571
2007,Maharashtra,Turmeric,Kharif,45893.25,1724.7,9866.14,113.58,5.133625
2017,Madhya Pradesh,Mustard,Rabi,902726.22,1259.9,218985.82,2299.7,1.543854
2013,Uttarakhand,Moth,Kharif,27.0,1735.4,3901.23,7.29,0.26
2008,Gujarat,Rapeseed &Mustard,Rabi,293900.0,746.1,42039456.0,26451.0,1.115
2017,Madhya Pradesh,Masoor,Rabi,596010.0,800.0,93835814.4,226483.8,1.008889
2018,Maharashtra,Other Kharif pulses,Kharif,87264.0,1387.4,14154220.8,30542.4,0.395357
2003,Chhattisgarh,Garlic,Whole Year,910.0,1643.7,90071.8,218.4,3.008571
2019,Jammu and Kashmir,Garlic,Rabi,662.0,1324.1,113705.12,244.94,0.805556
