State,Crop,Soil_Type,Fertilizer,N,P,K,Rainfall_mm,Temperature_C,Yield_kg_per_acre,Soil_pH,Year
Karnataka,Soybean,Loamy,DAP,96,41,51,123,31.06,1899,6.82,2003
Odisha,Cotton,Red Soil,Urea,29,36,112,247,33.97,1002,6.41,2002
Punjab,Groundnut,Red Soil,Compost,37,38,177,142,24.21,1465,7.06,2015
Gujarat,Wheat,Red Soil,Compost,58,77,129,227,30.85,2273,5.93,2022
Andhra Pradesh,Cotton,Clay,Organic,108,61,63,263,37.81,1497,6.24,2017
Tamil Nadu,Rice,Black Soil,Urea,84,96,18,213,21.15,4630,6.1,2005
Gujarat,Soybean,Sandy,Organic,47,67,69,282,26.52,1778,5.75,2022
Bihar,Millets,Loamy,DAP,84,33,134,269,28.74,1583,6.15,2018
Kerala,Sugarcane,Black Soil,Organic,75,86,58,87,18.47,70433,5.94,2019
Rajasthan,Soybean,Black Soil,DAP,12,16,60,210,26.88,1466,5.57,2013
Uttar Pradesh,Maize,Alluvial,DAP,126,81,197,219,33.6,2846,7.77,2002
Bihar,Sugarcane,Loamy,NPK,108,45,79,110,31.58,84211,5.52,2006
Andhra Pradesh,Wheat,Alluvial,DAP,28,6,46,223,30.69,3134,7.34,2006
Tamil Nadu,Soybean,Loamy,DAP,125,41,40,263,36.16,2419,5.88,2003
Madhya Pradesh,Soybean,Alluvial,Compost,134,49,178,138,18.38,2237,7.78,2022
Punjab,Soybean,Clay,Organic,97,84,71,238,29.13,2134,7.73,2004
Tamil Nadu,Barley,Sandy,Compost,44,52,102,67,33.72,1723,7.13,2016
Rajasthan,Millets,Sandy,DAP,10,28,195,119,28.81,1191,7.18,2003
Rajasthan,Cotton,Loamy,NPK,135,103,23,131,24.48,1837,5.51,2022
Uttar Pradesh,Groundnut,Red Soil,Compost,98,26,173,165,20.74,1698,7.96,2012
Andhra Pradesh,Cotton,Black Soil,Compost,34,104,173,129,35.72,1379,7.69,2015
Gujarat,Cotton,Black Soil,Urea,25,15,88,64,27.41,845,7.74,2015
Uttar Pradesh,Barley,Loamy,DAP,82,62,17,225,35.53,2634,7.15,2001
Uttar Pradesh,Wheat,Alluvial,NPK,138,50,163,249,29.7,2243,6.36,2017
Punjab,Groundnut,Red Soil,Compost,51,33,45,62,31.46,1794,7.73,2000
Maharashtra,Groundnut,Clay,Compost,89,39,57,168,34.06,1825,6.23,2017
Andhra Pradesh,Rice,Alluvial,NPK,113,116,94,92,31.16,5656,6.91,2007
Odisha,Wheat,Alluvial,DAP,43,19,37,237,25.96,3064,5.75,2010
Uttar Pradesh,Sugarcane,Loamy,Urea,98,64,199,106,28.26,65996,7.8,2023
West Bengal,Cotton,Loamy,Compost,134,99,60,248,34.03,1763,5.85,2023
Telangana,Sugarcane,Black Soil,Urea,54,46,113,66,25.47,78790,6.06,2014
Maharashtra,Rice,Loamy,Organic,30,109,179,227,25.76,3592,6.9,2015
Odisha,Cotton,Loamy,DAP,131,47,110,81,19.93,1545,7.41,2016
West Bengal,Wheat,Loamy,Organic,79,84,38,199,36.26,3930,7.05,2016
Andhra Pradesh,Barley,Black Soil,Organic,105,78,136,104,19.84,2463,6.08,2011
Karnataka,Millets,Clay,Organic,114,53,91,292,30.95,1414,5.5,2009
West Bengal,Rice,Clay,DAP,57,68,19,234,26.26,5727,7.39,2019
Madhya Pradesh,Rice,Loamy,DAP,48,36,115,62,26.11,4162,7.96,2005
Maharashtra,Millets,Black Soil,NPK,40,68,176,96,31.57,1533,7.52,2007
Bihar,Rice,Clay,Urea,19,119,10,136,19.36,3704,6.65,2012
West Bengal,Soybean,Alluvial,Urea,39,6,48,111,29.86,1715,7.76,2001
Haryana,Millets,Clay,NPK,27,28,30,231,33.41,1467,6.52,2018
Karnataka,Groundnut,Clay,NPK,97,91,74,78,34.53,2108,6.81,2021
Rajasthan,Rice,Black Soil,Organic,134,70,24,71,21.42,5992,6.69,2009
Rajasthan,Cotton,Alluvial,NPK,82,42,141,114,35.91,1175,6.62,2003
Kerala,Soybean,Black Soil,Compost,24,35,197,78,31.1,1898,7.44,2011
Madhya Pradesh,Groundnut,Loamy,Urea,13,119,70,97,35.6,1264,6.82,2017
West Bengal,Sugarcane,Sandy,NPK,18,108,157,54,27.7,57723,6.29,2006
West Bengal,Groundnut,Clay,Compost,118,30,147,299,28.83,1778,6.15,2019
Kerala,Groundnut,Sandy,Compost,25,33,96,212,36.35,1461,5.59,2023
Telangana,Cotton,Black Soil,Compost,108,71,114,296,35.96,1589,6.96,2023
Telangana,Rice,Black Soil,Compost,130,82,43,251,26.96,5016,6.07,2022
Kerala,Pulses,Black Soil,Organic,61,29,133,260,23.49,896,5.87,2024
