Crop,Q1,Q3,Lower_Bound,Upper_Bound,Outlier_Count
Arecanut,0.9207145000000001,1.7166665,-0.2732135,2.9105945,16.0
Arhar/Tur,0.65111075,1.0365395,0.07296762499999998,1.614682625,14.0
Bajra,0.652,1.601429,-0.7721435,3.0255725,2.0
Banana,13.57277775,33.82869375,-16.81109625,64.21256775,13.0
Barley,1.01895825,2.447575,-1.123966875,4.590500125,0.0
Black pepper,0.22,0.8270000000000001,-0.6905000000000001,1.7375000000000003,13.0
Cardamom,0.06344125,0.114643,-0.013361374999999981,0.19144562499999998,10.0
Cashewnut,0.36267825,0.80755925,-0.3046432499999999,1.4748807499999999,7.0
Castor seed,0.3649495,0.9022725,-0.441035,1.7082570000000001,14.0
Coconut,6568.305357249999,12175.1593775,-1841.9756731250018,20585.440407875,1.0
Coriander,0.3199315,0.75825275,-0.3375503750000001,1.4157346250000002,14.0
Cotton(lint),0.551635,2.0419020000000003,-1.6837655000000002,4.277302500000001,6.0
Cowpea(Lobia),0.5,1.14958325,-0.4743748750000001,2.123958125,0.0
Dry chillies,0.7190105,1.9966819999999998,-1.1974967499999998,3.9131892499999994,21.0
Garlic,1.4861145,5.847353,-5.05574325,12.38921075,7.0
Ginger,1.825,9.126364,-9.127046000000002,20.07841,7.0
Gram,0.6212,1.061742,-0.03961300000000001,1.7225549999999998,4.0
Grapes,21.2689365,23.7992475,17.47347,27.594714000000003,0.0
Groundnut,0.87107175,1.49355775,-0.06265724999999978,2.4272867499999995,17.0
Guar seed,0.6821429999999999,0.8546225000000001,0.42342374999999977,1.1133417500000002,4.0
Horse-gram,0.33206725000000004,0.61975,-0.09945687499999994,1.051274125,1.0
Jowar,0.8192857499999999,1.25524975,0.1653397499999999,1.9091957499999999,10.0
Jute,5.48625,11.830791,-4.030561499999999,21.3476025,1.0
Khesari,0.62003125,0.9168547499999999,0.17479600000000017,1.3620899999999998,1.0
Lentil,0.823661,0.975,0.5966525,1.2020085,0.0
Linseed,0.309295,0.605,-0.1342625,1.0485575,2.0
Maize,1.4783974999999998,2.7770515,-0.46958350000000015,4.725032499999999,19.0
Mango,5.611161,7.222417,3.194277,9.639301,0.0
Masoor,0.5214749999999999,0.84434925,0.0371636249999997,1.3286606250000004,4.0
Mesta,2.011271,8.170625,-7.227759999999999,17.409656,0.0
Moong,0.5637442500000001,0.7381007500000001,0.3022095,0.9996355000000001,0.0
Moong(Green Gram),0.358824,0.68875,-0.13606500000000005,1.1836389999999999,4.0
Moth,0.25,0.633529,-0.3252935,1.2088225000000001,0.0
Mustard,1.2579354999999999,1.511824,0.8771027499999996,1.8926567500000004,0.0
Niger seed,0.2192445,0.52,-0.23188875000000003,0.9711332500000001,7.0
Oilseeds total,1.0055895000000001,3.0400720000000003,-2.04613425,6.091795750000001,2.0
Onion,6.480543,18.083686999999998,-10.924172999999993,35.48840299999999,2.0
Other  Rabi pulses,0.47802875,0.9116664999999999,-0.1724278749999999,1.5621231249999998,10.0
Other Cereals,0.535714,0.97,-0.1157149999999999,1.621429,3.0
Other Kharif pulses,0.4491775,0.949659,-0.30154475000000003,1.70038125,3.0
Other Summer Pulses,0.4736965,0.7190624999999999,0.10564750000000017,1.0871114999999998,0.0
Peas & beans (Pulses),0.679412,1.246667,-0.17147049999999997,2.0975495,13.0
Potato,7.476848,20.41439025,-11.929465375,39.820703625,3.0
Ragi,0.76,1.336721,-0.10508150000000005,2.2018025000000003,13.0
Rapeseed &Mustard,0.4525,0.965909,-0.3176135,1.7360225,17.0
Rice,1.5283335,2.6991667500000003,-0.2279163750000004,4.455416625000001,3.0
Rubber,1.3862505,1.57579475,1.101934125,1.860111125,0.0
Safflower,0.3647855,0.7732140000000001,-0.24785725000000014,1.3858567500000003,0.0
Sannhamp,0.24458325,0.8336285,-0.638984625,1.7171963749999999,22.0
Sesamum,0.279111,0.597308,-0.19818449999999993,1.0746034999999998,3.0
Small millets,0.517818,0.9789129999999999,-0.17382449999999994,1.6705554999999999,5.0
Soyabean,0.8300285000000001,1.284881,0.14774975000000024,1.9671597499999998,6.0
Sugarcane,32.660000249999996,74.8846905,-30.677035125000018,138.221725875,4.0
Sunflower,0.56375,1.352759,-0.6197635000000001,2.5362725,4.0
Sweet potato,5.5368865,13.029027,-5.701324250000001,24.26723775,2.0
Tapioca,7.5906815000000005,26.9225,-21.407046249999993,55.920227749999995,0.0
Tobacco,0.656,1.897,-1.2055000000000002,3.7585,36.0
Tomato,21.777225,24.146677,18.223047,27.700854999999997,0.0
Turmeric,1.0391667500000001,5.2209615,-5.233525374999999,11.493653625,14.0
Urad,0.3971785,0.7438039999999999,-0.12275974999999983,1.2637422499999997,5.0
Wheat,1.3895835,2.9241335,-0.9122414999999999,5.2259585,0.0
other oilseeds,0.5,1.0,-0.25,1.75,7.0
