Crop,Count,Mean,Median,Minimum,Maximum,Standard_Deviation
Coconut,130,9187.576698423076,8942.218995,4164.715926,21105.0,3241.384651043582
Sugarcane,454,53.60629300440528,56.3613905,1.5,165.0,30.495321755013084
Banana,244,27.752491536885245,25.1685545,6.934444,126.387692,18.404631384623016
Tomato,17,22.80403529411765,22.902457,18.95661,25.213619,1.7680277609467052
Grapes,15,22.629860133333334,22.470773,19.657373,25.600885,1.8098670227569549
Tapioca,146,17.27055166438356,11.9136715,1.3,42.097857,11.514046026361706
Potato,388,15.56866068556701,10.534575499999999,1.0,311.02,25.502108357575917
Onion,299,13.680686013377926,11.768056,0.5,247.572727,18.099551382971967
Sweet potato,168,9.315005857142857,8.487106,1.0,26.339444,4.954765299082272
Jute,111,8.626023477477478,8.724286,0.367576,25.430556,5.030589726359442
Ginger,225,6.777126746666666,5.950625,0.565,36.357826,6.0827286870274015
Mango,129,6.426546953488372,6.349475,4.192917,9.112422,1.0740526512962687
Mesta,139,5.504641582733813,5.711154,0.283333,13.158947,3.3320224969543584
Garlic,182,4.591392082417583,4.295096,0.394444,17.0,3.6885556037031075
Cashewnut,102,3.9297999803921573,0.467619,0.168571,338.548966,33.462403344903066
Turmeric,296,3.672397824324324,2.565357,0.111111,19.308913,3.356932177569394
Oilseeds total,15,2.5172578000000003,1.115294,0.959375,8.527692,2.5770570412750775
Maize,479,2.40220151565762,1.913333,0.12375,22.38,2.304957841281877
Wheat,407,2.2535572137592137,1.834444,0.155,5.068636,1.1631078872253866
Tobacco,237,2.205553392405063,1.284167,0.12,57.1205,4.400134094238444
Arecanut,111,2.1899545135135132,1.291818,0.296667,10.948182,2.5432390641646907
Rice,514,2.134084671206226,2.071111,0.2625,4.84,0.8319748481581404
Barley,234,1.7248962777777777,1.4495455,0.26,3.988235,0.9164159296140582
Dry chillies,238,1.7231029201680672,0.9565155000000001,0.207,14.0,2.0199961273817304
other oilseeds,73,1.7165149589041095,0.674,0.114286,21.38,3.8220157009130236
Rubber,18,1.5025736666666667,1.509833,1.347991,1.738159,0.11820548916138514
Cotton(lint),343,1.4797501603498542,1.268235,0.08375,5.295,1.0806695601266263
Mustard,139,1.397111345323741,1.413061,0.934862,1.763155,0.16942707484281536
Peas & beans (Pulses),225,1.2730244444444445,0.914444,0.30875,10.433333,1.5516843671586276
Sannhamp,108,1.2469772407407407,0.399778,0.04,6.622609,1.7286150075884767
Groundnut,368,1.2419536929347825,1.0688330000000001,0.204167,3.02,0.5705350314209624
Bajra,305,1.1891439147540983,1.054545,0.208,3.3,0.6125949598964223
Soyabean,255,1.0837429960784315,1.013571,0.161538,2.27,0.3659957722715732
Ragi,258,1.0644112945736435,0.9814285,0.185455,3.3212,0.548068620978422
Sunflower,205,1.0212249804878049,0.96,0.050667,5.02,0.6251597467595466
Jowar,292,1.019498801369863,1.0,0.003571,2.5,0.3932140776592448
Lentil,33,0.8992129090909091,0.881443,0.643493,1.12589,0.11542461276558491
Gram,357,0.8901329859943977,0.850785,0.16,5.54,0.39876388966277493
Arhar/Tur,374,0.873353,0.8203705,0.193333,1.898235,0.3244624808303323
Cowpea(Lobia),62,0.8597741129032258,0.7735415,0.176667,1.674545,0.4579259393692571
Black pepper,88,0.8212928068181818,0.4275,0.141667,4.133571,0.8695276449109525
Guar seed,55,0.8077469090909091,0.812642,0.213077,2.929412,0.3374489969227873
Rapeseed &Mustard,381,0.7867756325459316,0.725,0.08,6.345,0.5907469358055742
Khesari,54,0.785304462962963,0.7974905,0.28125,1.545652,0.23937961475421413
Other Cereals,69,0.782844347826087,0.7625,0.1,2.57,0.41891522658945546
Small millets,291,0.7684444879725086,0.75,0.155625,2.8775,0.3576325786105386
Other  Rabi pulses,266,0.7605396503759398,0.7177275,0.114,4.0,0.4604778662829764
Other Kharif pulses,283,0.7210222614840989,0.66,0.075,2.8,0.38233621160019565
Coriander,162,0.7163919444444444,0.5035415000000001,0.113158,5.4925,0.7847708738943712
Masoor,240,0.7154993583333333,0.7121265,0.258889,2.12375,0.2523939554372161
Castor seed,203,0.6962342758620689,0.591538,0.138333,2.466333,0.45740276980686617
Moong,36,0.6534520277777778,0.6449905,0.428541,0.879251,0.11624752834054115
Other Summer Pulses,8,0.624906875,0.625,0.334667,1.0,0.21549968550950702
Urad,339,0.6015862418879057,0.575926,0.042857,4.1875,0.328407091079541
Safflower,130,0.5758010153846154,0.5765355000000001,0.189091,1.216667,0.23283516836258616
Moong(Green Gram),317,0.5360996277602523,0.498571,0.062667,1.773333,0.2603802903813987
Horse-gram,186,0.49232360752688176,0.458252,0.062,1.064545,0.22751757090696823
Linseed,231,0.47237999567099564,0.44,0.0725,1.12,0.21830531611530743
Sesamum,389,0.46692746272493574,0.445,0.068571,1.5,0.2252312725716254
Moth,77,0.4494901818181818,0.43,0.031429,1.0,0.25124269916911474
Niger seed,135,0.41708993333333333,0.335,0.113158,4.987647,0.4477407626531694
Cardamom,52,0.14563909615384615,0.074596,0.03875,1.612,0.22758939670658007
