Region,Temperature,Rainfall,Soil_Type,Fertilizer_Usage,Pesticide_Usage,Irrigation,Crop_Variety,Yield
East,23.152155735731096,803.3625734259747,Clayey,204.7920110607646,20.76758957893221,1,Variety B,40.31631777820608
West,19.38241897544585,571.5676697342047,Sandy,256.2017369949576,49.2902424374646,0,Variety A,26.846639296498925
North,27.89589009645857,0.0,Loamy,222.2026258974968,25.316120561489832,0,Variety C,0.0
East,26.741361132013623,897.426194134021,Loamy,187.98409026511663,17.115362349379986,0,Variety C,45.440871287808704
East,19.090285745362397,649.3846938142119,Loamy,110.45954885383829,24.06880445382609,1,Variety B,35.47811829725485
West,29.17747138960381,891.2836506376902,Loamy,156.49937986710702,27.607213147887727,1,Variety A,46.60005176237303
North,19.00907983698832,718.1447172299668,Loamy,291.9357062084289,12.772310921531794,0,Variety A,33.34459649705373
North,30.146108956169467,758.1030837741118,Loamy,214.44134581815,33.12873524893158,1,Variety A,38.534189447509775
East,28.43931663593509,541.0533787202169,Loamy,191.0988450847474,33.905297594756014,1,Variety B,28.482637897388607
South,27.098327612990342,447.5407975620335,Clayey,283.2391563820568,39.557218213978885,0,Variety A,20.511027450270152
East,23.11502420416482,574.6962375464321,Sandy,196.62794525936215,11.166795691629732,0,Variety B,29.08369503561965
East,27.878898913332264,358.2429839506922,Loamy,181.52062960435077,31.649528577353205,1,Variety B,18.90152174654004
East,30.381859976205902,586.7761701800464,Clayey,239.8277137875513,12.116297330826576,0,Variety B,30.159745414242728
East,27.961759605540863,0.0,Clayey,228.1664047466361,38.04576879866614,1,Variety C,0.0
West,21.64874989136881,508.5864490428826,Sandy,98.2900021021082,12.22911942803938,1,Variety A,29.188909200005067
North,26.33703491177732,768.9352240204266,Loamy,167.8270686435303,46.469113933665305,1,Variety A,40.10982302957735
West,30.66017493147518,518.8617157857932,Sandy,168.1288607048963,38.08330267537986,1,Variety B,26.58065415135413
West,35.99549090278352,845.4965476061975,Loamy,144.5561288108362,30.29559060340628,0,Variety B,45.71209449454961
West,23.97393512750402,447.2509224302789,Clayey,179.32337053806327,27.660156931247,0,Variety A,23.424433802741618
East,29.289415530657152,700.5301825975655,Clayey,153.27684943178605,15.226905216530495,0,Variety B,37.2183676337886
South,30.67240260042159,324.3459852653268,Clayey,99.83637236779578,21.639975582586523,0,Variety A,18.78652028108056
North,20.93797500505118,692.3913239110757,Clayey,153.09162181867026,44.75836420083585,1,Variety C,36.130107231887806
South,33.910391590307405,546.5189816455633,Sandy,68.06923689329415,46.17811246249976,1,Variety B,31.94883394101085
West,19.67407657958277,456.04990083145424,Loamy,193.9464656936029,10.029908334821243,0,Variety A,22.772063076855883
West,29.04492757516488,0.0,Loamy,263.413637235278,33.76545565910205,1,Variety B,0.0
South,26.52659889773533,449.1246448388901,Sandy,231.3217710886388,38.77202436100454,1,Variety A,24.36680273407479
South,25.2778777999908,542.6906038559621,Loamy,140.0985100135278,34.74987929830425,1,Variety A,29.778262391440744
South,37.73416640724322,665.7418870439834,Clayey,71.76780139432705,13.26719059465416,0,Variety B,37.83544698854715
West,23.493723823365997,812.1899598198136,Loamy,100.53734980631768,18.70899595195609,0,Variety C,43.60506618770792
West,23.41327203635696,907.0065402731822,Clayey,186.3725851237089,20.01361069525544,0,Variety A,46.286298620340055
North,31.657394036988972,749.2534686245968,Sandy,101.7642708457582,43.26898525220359,1,Variety A,40.75452597797373
North,28.809018890433915,387.5819349391611,Loamy,185.9932778212419,28.52797745235682,0,Variety A,21.16502445848545
West,31.41049460479277,439.0391820964522,Sandy,107.89975619097471,29.473128477649475,0,Variety C,25.3611214447714
South,25.58434691170557,647.7830942087367,Loamy,262.23096736901823,47.395721862180345,0,Variety C,31.383327145569996
South,26.584713085060816,603.9228919695603,Clayey,149.3178682101149,35.48343555418862,0,Variety B,32.263265876924315
North,34.50467806497287,825.6691918782724,Sandy,111.38765648612276,45.94670806210655,0,Variety C,44.38588925460041
West,20.82022960209652,995.8778837419824,Loamy,253.0815450617654,28.26035421366132,0,Variety B,48.91852534597277
North,24.4856147795417,953.4360390196446,Clayey,135.7097412013627,15.97745034073177,1,Variety B,50.20599383836576
North,28.991270357127224,798.7876399596689,Sandy,77.87192195969548,47.19742376296343,1,Variety C,44.46531944515474
East,24.02069589956081,605.5805297885795,Sandy,192.6023728509104,28.34820462670153,0,Variety B,30.50605062980332
East,22.149270603584824,769.8650125891688,Loamy,195.3910511094972,17.265256875152875,0,Variety C,38.98283775795312
East,28.09242256393261,832.2882027456792,Loamy,228.67391880893356,22.09582961215689,1,Variety B,43.35803713061415
South,31.67902833245747,470.5399205489963,Loamy,110.0548583020964,12.032103587557687,1,Variety C,26.90577794664016
West,24.295828185970716,393.46780549824814,Clayey,160.9428347730613,28.732023658255407,0,Variety C,20.98239478689804
West,24.157051895946253,346.515799985665,Loamy,120.59197976066406,44.12512687640947,0,Variety B,20.336770830903596
West,21.761559871582847,324.7230533109393,Sandy,70.23843402892203,47.343218240267575,0,Variety A,19.326278708101366
West,23.520115782971327,223.6009354813619,Sandy,269.15345675397293,47.30408830014575,0,Variety B,9.411999077705213
East,30.41803039915093,549.9803418235455,Loamy,232.2174511220853,15.00920102514987,1,Variety C,27.99873228257348
South,25.405314353468285,300.04943978237367,Loamy,125.36576486470015,25.28215530044228,0,Variety A,17.38047773435423
South,20.97504669534856,343.2955631729235,Sandy,199.84324821799655,11.129150386028254,0,Variety B,17.476920317766336
East,26.311811901618317,640.2511118353455,Clayey,100.3159470336181,44.20661379885891,0,Variety B,34.718707774626154
South,30.2559700549302,536.321813250702,Loamy,272.5591554489428,24.350230480850957,0,Variety B,27.4711166506325
East,22.190571682262856,585.9249881267349,Loamy,78.72658584047758,35.24468111568939,1,Variety A,32.13203127967428
West,18.356973902022183,773.0297523784163,Sandy,50.959286376950224,38.59593752309154,1,Variety C,41.930792369868016
East,35.95412579936376,672.9059817081591,Loamy,175.50204943479554,27.19378678972621,1,Variety B,35.2491155719293
West,18.107353249783763,803.7773162905326,Clayey,195.7819558632173,22.25769346200972,0,Variety B,40.66429196664114
