State,Crop,Soil_Type,Fertilizer,N,P,K,Rainfall_mm,Temperature_C,Soil_pH,Year,Yield_kg_per_acre
West Bengal,Jute,Red Soil,Organic,108,56,135,168,28.97,7.53,2002,1933
Rajasthan,Pulses,Clay,Compost,84,101,191,193,24.34,7.26,2022,2900
West Bengal,Rice,Sandy,Organic,111,44,73,98,37.51,6.41,2006,1330
Madhya Pradesh,Barley,Sandy,Organic,71,108,192,295,23.51,5.68,2002,7177
Maharashtra,Soybean,Sandy,DAP,25,30,76,271,28.37,6.86,2000,1097
Uttar Pradesh,Maize,Clay,Urea,52,95,132,284,37.85,6.1,2005,1927
West Bengal,Soybean,Red Soil,Organic,22,23,29,244,36.61,5.83,2017,2340
Madhya Pradesh,Tea,Loamy,NPK,126,26,81,55,25.34,5.82,2023,2281
Kerala,Coffee,Sandy,DAP,47,92,108,274,26.35,6.02,2004,1227
Uttar Pradesh,Tea,Red Soil,Compost,56,19,150,254,29.09,5.91,2010,3898
Maharashtra,Sugarcane,Black,DAP,118,35,107,105,32.69,6.8,2003,2891
Haryana,Jute,Sandy,DAP,24,91,129,127,29.6,7.27,2021,1012
Maharashtra,Jute,Red Soil,NPK,131,93,128,89,23.76,7.68,2022,1198
Gujarat,Pulses,Loamy,Compost,26,25,146,274,26.44,7.87,2023,1899
Kerala,Tea,Red Soil,DAP,91,114,180,52,36.76,6.86,2009,2543
Uttar Pradesh,Cotton,Black,DAP,35,25,24,217,35.23,6.5,2018,2813
Punjab,Maize,Clay,Urea,86,33,17,101,18.14,6.38,2006,692
Kerala,Rice,Sandy,Compost,42,13,45,112,28.94,6.11,2019,2005
Gujarat,Maize,Black,Urea,113,91,57,77,20.64,6.69,2014,822
Maharashtra,Sugarcane,Red Soil,DAP,119,55,91,256,29.31,7.52,2003,993
Punjab,Sugarcane,Red Soil,Urea,62,58,194,291,30.97,6.04,2012,658
Rajasthan,Tea,Sandy,DAP,118,70,94,90,29.15,5.91,2001,3770
Gujarat,Rice,Loamy,Organic,75,98,14,131,19.08,7.02,2022,2594
Madhya Pradesh,Sugarcane,Loamy,Organic,123,104,141,244,33.2,7.4,2021,2175
Karnataka,Soybean,Loamy,DAP,40,97,10,249,21.6,6.12,2000,3523
Gujarat,Cotton,Clay,Urea,128,47,92,203,33.9,6.97,2005,35286
Karnataka,Coffee,Sandy,DAP,108,33,197,188,25.6,6.95,2010,2233
