id,soil_ph,soil_moisture,avg_temperature,total_rainfall,fertilizer_amount,pesticide_usage,sunlight_hours,nitrogen_content,phosphorus_content,potassium_content,irrigation_frequency,crop_type,region,season,harvest_date,field_id,yield_tpha
0,7.83,37.19,32.27,145.63,124.83,11.13,1911.12,1.45,0.7,1.07,3,Soybean,South,Autumn,2021-03-09,F0138,3.79
1,6.69,23.72,25.85,599.01,120.17,11.85,2011.49,0.53,1.14,1.72,3,Soybean,South,Spring,2021-07-18,F0393,5.66
2,8.34,20.48,18.2,333.25,270.8,10.59,1929.73,3.0,1.08,1.39,5,Soybean,North,Summer,2021-11-20,F0066,7.1
3,7.21,42.45,13.76,523.61,99.01,1.22,2231.23,2.68,0.76,0.81,5,Corn,East,Summer,2021-03-02,F0150,5.46
4,5.13,16.61,14.44,1005.93,169.96,6.35,2826.83,1.3,1.49,0.91,3,Corn,Central,Summer,2021-10-24,F0498,6.34
5,6.81,49.61,20.27,620.86,162.36,12.23,1592.81,1.13,1.45,1.73,6,Barley,West,Spring,2021-10-04,F0188,6.33
6,8.13,45.11,31.06,347.48,122.62,12.78,2507.66,1.17,1.07,0.86,2,Wheat,North,Autumn,2021-10-09,F0347,4.07
7,6.92,19.94,14.92,239.89,70.09,3.85,1306.51,2.48,0.78,1.22,3,Rice,South,Spring,2021-02-12,F0085,5.46
8,6.31,26.2,12.77,806.9,176.9,8.42,2458.87,2.48,1.44,1.82,2,Barley,Central,Spring,2021-04-20,F0322,6.03
9,7.37,41.57,29.81,970.26,296.3,9.48,2518.5,0.51,1.1,0.58,6,Barley,East,Autumn,2021-11-30,F0491,8.55
10,7.87,15.45,23.11,1150.23,278.64,3.04,2885.96,1.66,0.86,1.52,1,Barley,West,Autumn,2021-02-04,F0146,7.06
11,7.32,15.05,14.54,598.03,61.73,0.72,1426.29,0.82,1.21,0.67,4,Barley,South,Summer,2021-11-26,F0356,5.29
12,7.49,37.72,32.87,333.34,97.28,4.91,1322.3,1.66,1.06,1.9,6,Wheat,South,Summer,2021-07-19,F0247,6.66
13,6.65,28.71,20.97,765.66,110.87,14.15,1733.17,2.83,1.35,1.97,3,Wheat,North,Autumn,2021-04-06,F0375,5.55
14,5.24,18.57,10.85,375.15,207.84,4.56,2860.82,0.6,0.53,1.95,5,Soybean,East,Summer,2021-04-12,F0330,6.82
15,4.59,11.58,18.96,489.11,187.47,9.86,1848.29,1.29,0.37,1.76,1,Wheat,East,Summer,2021-11-08,F0289,5.64
16,6.6,19.98,26.99,116.69,261.26,10.3,1168.1,0.52,0.99,0.84,6,Wheat,Central,Summer,2021-01-26,F0232,6.33
17,5.7,46.41,23.03,901.86,230.6,12.94,2832.87,2.4,0.51,1.75,5,Barley,East,Autumn,2021-03-30,F0282,7.57
18,7.01,34.94,26.99,1149.15,75.33,12.18,2472.43,2.7,0.45,1.54,2,Soybean,West,Summer,2021-03-01,F0339,4.2
19,6.82,37.81,11.07,198.53,255.66,5.8,2708.51,2.94,0.43,1.94,2,Soybean,East,Spring,2021-09-12,F0014,7.9
20,5.14,15.26,23.29,967.16,130.38,11.18,2169.94,2.94,1.15,0.76,4,Rice,West,Autumn,2021-10-13,F0257,5.47
21,5.54,39.99,31.04,601.93,151.43,5.59,2530.24,2.99,0.65,1.88,1,Soybean,North,Spring,2021-07-04,F0167,7.07
22,7.68,30.8,32.18,713.44,145.93,5.14,1687.09,2.53,0.71,1.66,5,Rice,North,Summer,2021-05-22,F0023,6.45
23,8.01,48.4,32.82,933.3,82.32,0.02,1278.76,1.12,0.55,1.04,3,Soybean,Central,Spring,2021-09-29,F0385,6.12
24,5.33,32.65,16.63,579.53,139.31,11.89,1086.63,2.5,1.46,1.81,1,Corn,South,Autumn,2021-12-23,F0185,6.71
25,5.88,33.89,24.11,578.8,61.59,11.05,1730.9,2.26,0.28,0.98,4,Wheat,North,Spring,2021-10-21,F0421,4.23
26,6.43,12.98,29.45,562.56,110.01,7.04,2768.34,2.64,1.08,1.13,5,Soybean,Central,Autumn,2021-05-25,F0073,5.98
27,7.83,49.16,32.15,1005.8,54.26,14.25,1734.32,1.32,0.8,1.37,1,Barley,Central,Spring,2021-02-28,F0318,4.76
28,8.01,12.63,23.56,298.05,126.73,12.08,1235.6,1.83,0.32,1.62,3,Barley,Central,Spring,2021-09-20,F0215,4.04
29,7.17,25.21,19.76,612.58,199.72,6.26,2520.77,1.14,1.33,1.62,6,Corn,South,Spring,2021-05-07,F0131,6.0
30,5.32,32.51,16.3,195.77,64.96,10.64,1368.84,2.22,0.3,1.79,2,Corn,Central,Summer,2021-12-14,F0102,4.97
31,5.74,23.39,25.01,640.92,195.67,0.25,1948.01,0.92,0.85,1.16,3,Rice,East,Autumn,2021-06-13,F0344,7.1
32,5.35,29.78,29.1,636.89,118.82,10.09,2497.52,2.59,1.07,1.57,4,Rice,East,Summer,2021-04-29,F0123,5.96
33,7.36,36.83,12.24,666.91,76.57,2.06,1040.99,1.31,1.1,1.53,4,Barley,South,Summer,2021-04-27,F0304,6.32
34,5.28,31.52,34.34,503.21,258.45,1.12,2981.07,0.52,0.23,1.41,6,Soybean,South,Spring,2021-04-16,F0041,6.65
35,4.95,31.35,20.13,545.32,245.51,13.99,2557.82,2.19,0.92,0.78,6,Wheat,East,Autumn,2021-07-16,F0473,6.9
36,6.76,22.66,30.33,647.99,233.35,11.98,1953.76,1.87,1.18,0.84,3,Wheat,Central,Summer,2021-03-09,F0079,6.56
37,6.22,42.77,32.9,768.04,290.42,4.13,2802.58,2.46,1.48,0.65,2,Soybean,North,Spring,2021-06-16,F0146,7.32
38,7.15,26.04,23.15,492.61,264.87,3.11,2129.15,0.59,1.35,1.96,3,Rice,North,Summer,2021-01-07,F0222,6.25
39,7.77,34.61,33.03,360.52,117.9,6.78,1874.9,0.79,1.44,0.84,6,Wheat,North,Autumn,2021-02-28,F0060,5.74
40,7.84,22.96,13.78,830.28,73.97,8.2,2866.59,1.89,1.24,1.99,1,Corn,North,Autumn,2021-08-14,F0446,5.04
41,8.47,35.23,15.39,691.12,95.15,4.79,1979.34,0.76,0.66,1.57,2,Corn,East,Summer,2021-05-22,F0175,4.2
42,6.93,42.68,28.24,171.21,187.26,2.34,2339.38,0.54,1.28,0.93,6,Rice,South,Spring,2021-05-21,F0031,6.57
43,7.48,17.13,21.38,954.57,204.1,4.4,2887.91,2.74,1.49,1.85,3,Corn,Central,Autumn,2021-03-29,F0443,7.92
44,4.97,33.63,26.15,246.4,103.3,0.9,2450.35,2.97,0.6,0.93,2,Rice,North,Summer,2021-02-06,F0470,6.06
45,8.08,23.81,21.42,153.17,76.04,12.31,2190.29,1.55,0.74,1.71,2,Barley,Central,Spring,2021-07-12,F0279,4.28
46,7.15,14.0,30.95,929.87,79.18,5.83,2305.3,2.59,0.61,0.86,1,Rice,Central,Summer,2021-12-07,F0198,5.4
47,6.41,46.93,21.78,1102.18,292.81,11.89,1152.12,2.15,0.97,1.45,5,Soybean,South,Autumn,2021-08-29,F0489,6.93
48,6.07,39.16,18.38,876.13,217.38,8.62,2106.28,2.36,0.4,1.01,3,Wheat,South,Summer,2021-02-23,F0205,6.8
49,5.7,40.77,21.23,917.28,126.37,8.0,2953.07,0.96,1.39,1.78,5,Wheat,North,Summer,2021-11-28,F0364,4.4
50,5.23,40.96,15.25,1021.36,73.38,6.67,2217.14,0.65,0.29,1.53,2,Wheat,Central,Spring,2021-10-24,F0159,5.81
51,6.82,16.38,14.81,1142.59,193.1,4.07,2858.2,2.49,0.44,1.41,3,Wheat,North,Summer,2021-11-21,F0461,6.88
52,5.17,34.74,34.22,1084.82,171.52,5.41,1100.54,2.57,0.74,1.81,2,Soybean,Central,Spring,2021-05-13,F0001,6.36
53,7.76,47.35,14.7,944.44,81.15,14.79,1944.38,2.37,1.0,0.54,4,Wheat,West,Summer,2021-10-18,F0481,4.89
