id,soil_ph,soil_moisture,avg_temperature,total_rainfall,fertilizer_amount,pesticide_usage,sunlight_hours,nitrogen_content,phosphorus_content,potassium_content,irrigation_frequency,yield_tpha,harvest_month,rainfall_to_temp_ratio,fertilizer_nitrogen_interaction,crop_type_Barley,crop_type_Corn,crop_type_Rice,crop_type_Soybean,crop_type_Wheat,region_Central,region_East,region_North,region_South,region_West,season_Autumn,season_Spring,season_Summer
3813,5.09,49.73,29.02,1074.41,66.08,0.62,2300.22,2.32,1.14,1.45,6,5.8,3,37.02308752584425,153.3056,False,False,False,False,True,False,False,True,False,False,False,True,False
2354,6.52,40.22,28.88,701.72,227.68,12.94,1358.22,2.17,1.22,1.0,1,7.17,12,24.29778393351801,494.0656,True,False,False,False,False,False,False,False,False,True,False,False,True
2629,6.47,14.98,33.44,358.92,264.38,10.74,2849.4,0.72,0.26,1.14,2,6.97,1,10.733253588516748,190.3536,False,False,True,False,False,True,False,False,False,False,False,True,False
2117,7.94,15.36,23.77,718.84,283.31,1.22,1119.5,0.73,1.48,1.3,5,8.05,12,30.241480858224655,206.81629999999998,False,False,False,False,True,False,False,False,True,False,True,False,False
3139,4.73,11.64,20.62,615.63,52.43,14.05,2005.41,2.39,0.48,0.85,2,4.25,6,29.85596508244423,125.30770000000001,False,False,False,True,False,False,True,False,False,False,False,False,True
1767,8.0,45.3,32.11,739.12,95.29,4.6,2098.26,1.3,0.62,1.56,5,5.72,10,23.018374338212396,123.87700000000001,True,False,False,False,False,False,False,False,True,False,False,False,True
1237,7.37,12.97,15.93,928.94,151.85,12.01,1674.57,1.25,1.0,0.72,1,5.21,4,58.313873195229135,189.8125,False,False,False,True,False,False,True,False,False,False,False,False,True
103,5.37,31.8,27.34,1009.75,160.04,12.84,1197.48,2.06,1.04,1.0,6,6.88,11,36.93306510607169,329.6824,True,False,False,False,False,True,False,False,False,False,False,False,True
2471,5.47,31.33,28.46,1024.54,282.24,10.3,1015.5,2.83,0.45,1.83,5,7.32,6,35.99929725931131,798.7392000000001,False,False,True,False,False,False,True,False,False,False,False,True,False
2615,6.66,30.89,18.01,226.13,199.2,12.38,2528.34,0.78,0.31,0.8,4,6.59,10,12.555802332037755,155.376,False,True,False,False,False,True,False,False,False,False,False,False,True
508,5.99,29.81,18.29,1131.56,118.53,8.28,1367.48,2.46,0.48,1.29,2,5.2,1,61.86768726079825,291.5838,True,False,False,False,False,False,True,False,False,False,True,False,False
2240,5.6,37.35,14.24,892.27,129.58,3.69,2067.45,1.3,1.04,1.74,6,6.28,2,62.659410112359545,168.45400000000004,False,False,True,False,False,False,False,True,False,False,True,False,False
