farm_id,region,crop_type,yield_kg_per_hectare,rainfall_mm,temperature_C,pesticide_usage_ml,soil_pH,soil_moisture_%,humidity_%,sunlight_hours,total_days,sowing_date,harvest_date,irrigation_type,fertilizer_type,crop_disease_status,NDVI_index
FARM00001,Albania,Maize,3661.3,1485.0,16.37,12100.0,6.67,57.27,67.98,8.75,114,1990-01-15,1990-05-15,Sprinkler,NPK 15-15-15,None,0.65
FARM00002,Albania,Potatoes,6666.7,1485.0,16.37,12100.0,5.75,51.36,61.4,7.11,106,1990-01-15,1990-05-15,Sprinkler,NPK 15-15-15,None,0.66
FARM00003,Albania,"Rice, paddy",2333.3,1485.0,16.37,12100.0,6.73,46.69,59.55,6.49,126,1990-01-15,1990-05-15,Sprinkler,DAP,None,0.58
FARM00004,Albania,Sorghum,1250.0,1485.0,16.37,12100.0,7.23,49.71,61.43,7.89,123,1990-01-15,1990-05-15,Sprinkler,NPK 15-15-15,None,0.42
FARM00005,Albania,Soybeans,700.0,1485.0,16.37,12100.0,6.52,46.29,65.26,8.35,111,1990-01-15,1990-05-15,Drip,NPK 15-15-15,None,0.35
FARM00006,Albania,Wheat,3019.7,1485.0,16.37,12100.0,6.72,37.03,62.84,5.73,132,1990-01-15,1990-05-15,Drip,Organic Compost,None,0.53
FARM00007,Albania,Maize,2906.8,1485.0,15.36,12100.0,7.05,42.94,66.92,7.45,130,1991-01-15,1991-05-15,Sprinkler,NPK 15-15-15,None,0.55
FARM00008,Albania,Potatoes,7781.8,1485.0,15.36,12100.0,6.07,41.46,65.08,8.05,104,1991-01-15,1991-05-15,Sprinkler,Urea,Mild,0.8
FARM00009,Albania,"Rice, paddy",2853.8,1485.0,15.36,12100.0,6.34,42.83,59.29,6.93,111,1991-01-15,1991-05-15,Sprinkler,Urea,None,0.48
FARM00010,Albania,Sorghum,666.7,1485.0,15.36,12100.0,6.89,55.18,69.61,7.13,134,1991-01-15,1991-05-15,Flood,NPK 15-15-15,None,0.37
FARM00011,Albania,Soybeans,606.6,1485.0,15.36,12100.0,6.44,51.83,62.6,6.91,125,1991-01-15,1991-05-15,Drip,Urea,None,0.35
FARM00012,Albania,Wheat,2069.8,1485.0,15.36,12100.0,6.64,48.42,67.79,8.24,148,1991-01-15,1991-05-15,Flood,NPK 15-15-15,None,0.53
FARM00013,Albania,Maize,2487.6,1485.0,16.06,12100.0,6.58,50.28,60.9,6.13,125,1992-01-15,1992-05-15,Drip,Urea,None,0.61
FARM00014,Albania,Potatoes,8292.0,1485.0,16.06,12100.0,5.13,36.75,60.77,6.81,106,1992-01-15,1992-05-15,Sprinkler,NPK 15-15-15,None,0.73
FARM00015,Albania,"Rice, paddy",4000.0,1485.0,16.06,12100.0,5.9,49.86,60.58,8.73,117,1992-01-15,1992-05-15,Flood,DAP,None,0.7
FARM00016,Albania,Sorghum,374.7,1485.0,16.06,12100.0,6.5,50.91,58.57,6.52,116,1992-01-15,1992-05-15,Flood,DAP,None,0.28
FARM00017,Albania,Soybeans,450.7,1485.0,16.06,12100.0,6.25,35.02,58.66,5.78,106,1992-01-15,1992-05-15,Rainfed,NPK 15-15-15,None,0.29
FARM00018,Albania,Wheat,2438.8,1485.0,16.06,12100.0,6.91,50.04,65.82,7.01,150,1992-01-15,1992-05-15,Flood,NPK 15-15-15,None,0.49
FARM00019,Albania,Maize,2418.5,1485.0,16.05,12100.0,6.18,39.09,60.59,7.88,124,1993-01-15,1993-05-15,Sprinkler,NPK 15-15-15,None,0.54
FARM00020,Albania,Potatoes,9844.6,1485.0,16.05,12100.0,5.31,36.36,65.68,6.98,105,1993-01-15,1993-05-15,Flood,Organic Compost,None,0.79
FARM00021,Albania,"Rice, paddy",4178.6,1485.0,16.05,12100.0,7.01,52.85,64.71,6.63,113,1993-01-15,1993-05-15,Sprinkler,NPK 15-15-15,None,0.63
FARM00022,Albania,Soybeans,799.8,1485.0,16.05,12100.0,6.52,41.18,67.82,7.42,118,1993-01-15,1993-05-15,Drip,Organic Compost,None,0.4
FARM00023,Albania,Wheat,2997.6,1485.0,16.05,12100.0,6.82,42.63,60.23,9.01,136,1993-01-15,1993-05-15,Drip,Urea,None,0.57
FARM00024,Albania,Maize,2584.8,1485.0,16.96,20100.0,6.0,51.16,68.09,6.81,130,1994-01-15,1994-05-15,Sprinkler,NPK 15-15-15,None,0.52
FARM00025,Albania,Potatoes,8140.4,1485.0,16.96,20100.0,5.61,44.69,60.22,8.67,120,1994-01-15,1994-05-15,Sprinkler,Urea,None,0.75
FARM00026,Albania,Soybeans,792.7,1485.0,16.96,20100.0,6.64,45.31,52.88,7.35,118,1994-01-15,1994-05-15,Rainfed,Urea,None,0.36
FARM00027,Albania,Wheat,2474.5,1485.0,16.96,20100.0,6.4,45.2,64.61,6.32,148,1994-01-15,1994-05-15,Flood,NPK 15-15-15,Moderate,0.51
FARM00028,Albania,Maize,3130.0,1485.0,15.67,25100.0,6.63,47.95,60.99,8.35,116,1995-01-15,1995-05-15,Sprinkler,Organic Compost,None,0.56
FARM00029,Albania,Potatoes,11132.3,1485.0,15.67,25100.0,5.59,45.08,70.49,6.74,113,1995-01-15,1995-05-15,Drip,Urea,None,0.75
FARM00030,Albania,Soybeans,1179.1,1485.0,15.67,25100.0,6.5,46.78,65.69,5.77,114,1995-01-15,1995-05-15,Drip,DAP,None,0.35
FARM00031,Albania,Wheat,2870.3,1485.0,15.67,25100.0,6.59,43.7,64.15,7.25,132,1995-01-15,1995-05-15,Drip,NPK 15-15-15,None,0.65
FARM00032,Albania,Maize,3260.4,1485.0,15.64,31396.0,7.15,47.97,65.31,6.64,122,1996-01-15,1996-05-15,Drip,Organic Compost,None,0.62
FARM00033,Albania,Potatoes,10613.8,1485.0,15.64,31396.0,5.8,47.78,62.52,8.47,120,1996-01-15,1996-05-15,Sprinkler,Organic Compost,None,0.85
FARM00034,Albania,Soybeans,1548.0,1485.0,15.64,31396.0,6.23,55.7,71.24,7.34,114,1996-01-15,1996-05-15,Sprinkler,Urea,Mild,0.47
