Rainfall,Temperature,Humidity,Month,Year,Region
3.5,22.3,72.9,1,1997,Andhra Pradesh
2.2,24.9,66.1,2,1997,Andhra Pradesh
1.8,30.8,62.7,3,1997,Andhra Pradesh
4.1,32.9,59.2,4,1997,Andhra Pradesh
3.1,34.9,67.6,5,1997,Andhra Pradesh
59.3,30.8,64.3,6,1997,Andhra Pradesh
44.2,28.4,68.5,7,1997,Andhra Pradesh
87.3,30.2,70.2,8,1997,Andhra Pradesh
23.1,28.5,65.1,9,1997,Andhra Pradesh
0.4,26.4,68.1,10,1997,Andhra Pradesh
2.9,25.9,65.5,11,1997,Andhra Pradesh
0.6,24.0,67.3,12,1997,Andhra Pradesh
4.5,20.8,74.5,1,1998,Andhra Pradesh
4.0,24.6,62.3,2,1998,Andhra Pradesh
5.8,30.7,62.2,3,1998,Andhra Pradesh
4.9,32.7,64.7,4,1998,Andhra Pradesh
0.6,33.9,58.7,5,1998,Andhra Pradesh
69.1,31.3,71.1,6,1998,Andhra Pradesh
45.9,30.1,67.8,7,1998,Andhra Pradesh
176.9,28.5,71.9,8,1998,Andhra Pradesh
45.9,27.1,71.9,9,1998,Andhra Pradesh
9.0,27.3,68.3,10,1998,Andhra Pradesh
4.3,25.1,66.9,11,1998,Andhra Pradesh
4.2,22.2,67.3,12,1998,Andhra Pradesh
1.3,22.1,66.9,1,1999,Andhra Pradesh
2.7,23.9,62.9,2,1999,Andhra Pradesh
1.6,30.7,64.6,3,1999,Andhra Pradesh
4.4,34.1,62.8,4,1999,Andhra Pradesh
2.1,36.4,56.8,5,1999,Andhra Pradesh
24.9,32.2,68.7,6,1999,Andhra Pradesh
60.2,31.0,68.3,7,1999,Andhra Pradesh
49.1,28.8,62.3,8,1999,Andhra Pradesh
5.0,29.4,63.7,9,1999,Andhra Pradesh
0.8,28.8,62.0,10,1999,Andhra Pradesh
2.0,23.5,67.6,11,1999,Andhra Pradesh
5.7,23.9,63.4,12,1999,Andhra Pradesh
1.5,23.9,68.2,1,2000,Andhra Pradesh
1.1,24.4,69.8,2,2000,Andhra Pradesh
0.6,31.7,66.8,3,2000,Andhra Pradesh
5.8,33.9,60.5,4,2000,Andhra Pradesh
7.5,34.8,60.8,5,2000,Andhra Pradesh
34.5,32.3,63.7,6,2000,Andhra Pradesh
35.8,29.2,64.7,7,2000,Andhra Pradesh
33.7,29.8,67.4,8,2000,Andhra Pradesh
57.1,28.4,66.6,9,2000,Andhra Pradesh
1.7,27.8,66.2,10,2000,Andhra Pradesh
2.1,24.8,67.6,11,2000,Andhra Pradesh
2.6,22.1,72.9,12,2000,Andhra Pradesh
4.9,21.6,64.7,1,2001,Andhra Pradesh
4.3,22.2,68.3,2,2001,Andhra Pradesh
0.9,30.5,61.0,3,2001,Andhra Pradesh
3.3,33.1,60.1,4,2001,Andhra Pradesh
1.4,32.9,56.5,5,2001,Andhra Pradesh
5.1,31.0,63.0,6,2001,Andhra Pradesh
69.0,28.4,71.3,7,2001,Andhra Pradesh
104.4,28.2,70.8,8,2001,Andhra Pradesh
37.1,26.5,68.8,9,2001,Andhra Pradesh
5.3,26.2,69.0,10,2001,Andhra Pradesh
1.8,24.2,66.0,11,2001,Andhra Pradesh
3.8,21.8,73.7,12,2001,Andhra Pradesh
1.1,21.9,71.3,1,2002,Andhra Pradesh
1.8,22.8,68.1,2,2002,Andhra Pradesh
4.0,30.7,61.8,3,2002,Andhra Pradesh
3.9,34.9,64.4,4,2002,Andhra Pradesh
1.8,35.2,59.3,5,2002,Andhra Pradesh
141.8,31.4,72.2,6,2002,Andhra Pradesh
44.8,29.0,62.4,7,2002,Andhra Pradesh
3.4,28.5,59.5,8,2002,Andhra Pradesh
39.8,27.6,65.0,9,2002,Andhra Pradesh
3.8,25.4,67.3,10,2002,Andhra Pradesh
3.5,23.8,66.9,11,2002,Andhra Pradesh
2.9,23.7,66.8,12,2002,Andhra Pradesh
3.4,22.5,69.8,1,2003,Andhra Pradesh
0.6,25.0,67.7,2,2003,Andhra Pradesh
