Feature,Importance
num__fertilizer_amount,0.6493753
num__pesticide_usage,0.076136306
num__total_rainfall,0.056830697
cat__region_Central,0.018709285
num__avg_temperature,0.01782744
num__nitrogen_content,0.017720427
num__soil_moisture,0.01771672
num__potassium_content,0.01677469
num__soil_ph,0.016402049
num__phosphorus_content,0.013003315
num__sunlight_hours,0.012277903
cat__season_Autumn,0.011495639
cat__crop_type_Corn,0.010937822
num__irrigation_frequency,0.009969626
cat__season_Summer,0.00914077
cat__crop_type_Wheat,0.008975123
cat__crop_type_Rice,0.008916889
cat__region_North,0.008216489
cat__region_South,0.0069138845
cat__crop_type_Soybean,0.0064288224
cat__crop_type_Barley,0.0062307287
cat__region_East,0.0
cat__region_West,0.0
cat__season_Spring,0.0
