iter	RMSE
0	1.12737057
1	1.10774018
2	1.091791422
3	1.074978169
4	1.058486752
5	1.041770113
6	1.024818406
7	1.009107198
8	0.9945665254
9	0.9810569657
10	0.9679168469
11	0.9553904729
12	0.9433526991
13	0.9320911256
14	0.9198119056
15	0.9083779251
16	0.8974554663
17	0.8881257776
18	0.8779484041
19	0.8682880361
20	0.8591748984
21	0.8506550882
22	0.841151022
23	0.833327912
24	0.8243222984
25	0.8161549625
26	0.8085442942
27	0.8011517869
28	0.7945893198
29	0.7884665359
30	0.7814317578
31	0.7748762295
32	0.7688903945
33	0.7630615651
34	0.7571526596
35	0.750933869
36	0.7457870495
37	0.7402030001
38	0.7351535931
39	0.7301489107
40	0.7271384244
41	0.7225072919
42	0.7179030608
43	0.7139144193
44	0.7101441814
45	0.7064384655
46	0.7024900703
47	0.6995018116
48	0.6961107688
49	0.6928159919
50	0.6896330651
51	0.6876932064
52	0.6841786869
53	0.6812390284
54	0.6779329693
55	0.6751451611
56	0.6731384793
57	0.6707314176
58	0.6682969917
59	0.6657802091
60	0.663688102
61	0.661766171
62	0.65929758
63	0.656992809
64	0.6547064497
65	0.6528201687
66	0.6508814199
67	0.6490138911
68	0.6471340166
69	0.645222467
70	0.6432180403
71	0.6415687368
72	0.639860427
73	0.6391105182
74	0.6376006231
75	0.6358698477
76	0.6342322882
77	0.6326941929
78	0.6315988763
79	0.6304808144
80	0.6290725436
81	0.6277434232
82	0.6266556511
83	0.6254657032
84	0.6241872685
85	0.6228484037
86	0.6220438081
87	0.6210870845
88	0.6199882854
89	0.6190902126
90	0.6179363983
91	0.61687365
92	0.6157645191
93	0.6147596343
94	0.6138712326
95	0.6128530147
96	0.6118620408
97	0.6108679248
98	0.6099973617
99	0.6092286641
100	0.6086220315
101	0.6078717017
102	0.6071409018
103	0.6062826564
104	0.6055725358
105	0.604849321
106	0.6039252694
107	0.6029816012
108	0.6020853857
109	0.6015568601
110	0.6007342076
111	0.5998808189
112	0.5990952591
113	0.598485871
114	0.5978462524
115	0.5972293913
116	0.5966784991
117	0.5959947353
118	0.5955244015
119	0.5947861779
120	0.5941281076
121	0.593591438
122	0.5929747673
123	0.5924476981
124	0.5916858598
125	0.5910014188
126	0.590235797
127	0.5894890505
128	0.5890185779
129	0.5883797169
130	0.5877623362
131	0.5871144887
132	0.5866601936
133	0.5864843323
134	0.5857911592
135	0.5853186485
136	0.5848497528
137	0.5844439719
138	0.5838216034
139	0.5833086317
140	0.5826062954
141	0.5820629248
142	0.5815782273
143	0.5814430372
144	0.5809006288
145	0.5803507679
146	0.5799605541
147	0.5795034696
148	0.5791104408
149	0.5786627712
150	0.5782272458
151	0.5778154511
152	0.5772288278
153	0.5766194272
154	0.5765134485
155	0.5760631037
156	0.5755301399
157	0.5751438202
158	0.5747871575
159	0.5740787698
160	0.5736641899
161	0.5733199443
162	0.5728684821
163	0.5724854444
164	0.5719090295
165	0.5713632185
166	0.5711203998
167	0.5709110506
168	0.5702307337
169	0.5698024437
170	0.5697451975
171	0.5691547345
172	0.5687790612
173	0.5682234565
174	0.5678949389
175	0.5675818957
176	0.5671738449
177	0.5667727724
178	0.5664879868
179	0.565954153
180	0.5654755147
181	0.5652442206
182	0.5649036025
183	0.5643144625
184	0.5640040904
185	0.5636185734
186	0.5630731652
187	0.5630336918
188	0.5627269415
189	0.5622113167
190	0.5617303352
191	0.561320473
192	0.5609208312
193	0.5606042014
194	0.5602861268
