iter	Passed	Remaining
0	191	383480
1	218	218645
2	253	168994
3	292	145807
4	325	129890
5	362	120432
6	394	112434
7	422	105256
8	449	99341
9	476	94760
10	507	91726
11	536	88962
12	565	86476
13	592	84012
14	619	82008
15	647	80339
16	677	78983
17	702	77363
18	730	76117
19	755	74833
20	786	74089
21	813	73109
22	839	72199
23	866	71339
24	889	70274
25	919	69790
26	947	69255
27	975	68674
28	1002	68156
29	1028	67568
30	1058	67213
31	1084	66706
32	1112	66328
33	1146	66321
34	1171	65778
35	1202	65582
36	1235	65555
37	1267	65449
38	1299	65331
39	1331	65219
40	1340	64029
41	1375	64107
42	1408	64104
43	1446	64287
44	1479	64268
45	1507	64032
46	1536	63862
47	1561	63519
48	1589	63289
49	1618	63102
50	1648	63013
51	1656	62058
52	1684	61881
53	1710	61628
54	1738	61462
55	1766	61309
56	1793	61140
57	1820	60956
58	1847	60794
59	1875	60632
60	1906	60598
61	1927	60246
62	1955	60134
63	1982	59959
64	2010	59858
65	2036	59682
66	2070	59745
67	2097	59582
68	2127	59533
69	2153	59368
70	2180	59248
71	2211	59232
72	2241	59170
73	2248	58530
74	2276	58436
75	2304	58330
76	2335	58333
77	2362	58206
78	2391	58146
79	2404	57703
80	2431	57603
81	2460	57545
82	2492	57568
83	2519	57470
84	2549	57446
85	2579	57409
86	2597	57117
87	2625	57046
88	2653	56977
89	2680	56881
90	2705	56759
91	2731	56658
92	2763	56660
93	2790	56574
94	2819	56531
95	2845	56428
96	2874	56391
97	2907	56425
98	2935	56372
99	2964	56321
100	2992	56260
101	3020	56205
102	3057	56309
103	3084	56241
104	3111	56163
105	3138	56075
106	3166	56015
107	3195	55977
108	3223	55915
109	3250	55841
110	3279	55805
111	3307	55761
112	3340	55785
113	3367	55704
114	3394	55634
115	3419	55531
116	3446	55466
117	3476	55441
118	3503	55371
119	3530	55309
120	3558	55253
121	3583	55165
122	3614	55162
123	3641	55095
124	3669	55042
125	3697	54986
126	3725	54939
127	3758	54969
128	3787	54929
129	3813	54860
130	3843	54841
131	3870	54772
132	3901	54767
133	3915	54520
134	3942	54460
135	3969	54400
136	3998	54373
137	4024	54301
138	4052	54258
139	4077	54174
140	4106	54136
141	4134	54094
142	4163	54073
143	4174	53810
144	4248	54356
145	4295	54550
146	4338	54694
147	4367	54649
148	4394	54592
149	4420	54518
150	4448	54473
151	4476	54419
152	4508	54430
153	4534	54352
154	4545	54110
155	4570	54024
156	4595	53951
157	4620	53869
158	4647	53811
159	4672	53730
160	4699	53683
161	4726	53625
162	4755	53595
163	4787	53594
164	4814	53542
165	4840	53482
166	4863	53383
167	4885	53275
168	4927	53386
169	4954	53337
170	4963	53089
171	4990	53036
172	5017	52991
173	5044	52933
174	5078	52965
175	5105	52916
176	5133	52872
177	5158	52804
178	5186	52762
179	5213	52712
180	5242	52681
181	5270	52650
182	5299	52613
183	5328	52588
184	5364	52630
185	5391	52579
186	5419	52546
187	5432	52364
188	5461	52336
189	5488	52286
190	5519	52276
191	5546	52225
192	5574	52192
193	5600	52132
194	5628	52101
195	5656	52062
196	5682	52005
197	5706	51937
198	5735	51906
199	5764	51883
200	5797	51886
201	5827	51868
202	5863	51900
203	5892	51879
204	5901	51674
205	5927	51616
206	5953	51567
207	5964	51383
208	5974	51199
209	6000	51145
210	6030	51130
211	6058	51094
212	6088	51081
213	6115	51040
214	6143	51004
215	6164	50917
216	6194	50896
217	6229	50924
218	6258	50899
219	6285	50856
220	6314	50831
221	6335	50739
222	6346	50574
223	6375	50546
224	6403	50519
225	6430	50475
226	6458	50442
227	6483	50392
228	6514	50382
229	6543	50356
230	6570	50320
231	6598	50283
232	6627	50259
233	6658	50250
234	6687	50226
235	6714	50190
236	6743	50163
237	6771	50129
238	6802	50121
239	6809	49934
240	6837	49902
241	6864	49864
242	6892	49832
243	6918	49789
244	6949	49781
245	6960	49626
246	6988	49596
247	7015	49558
248	7042	49522
249	7069	49483
250	7080	49334
251	7106	49292
252	7133	49257
253	7160	49223
254	7188	49194
255	7219	49179
256	7250	49170
257	7276	49133
258	7303	49096
259	7328	49046
260	7343	48925
261	7375	48927
262	7402	48892
263	7429	48857
264	7460	48842
265	7487	48811
266	7520	48813
267	7549	48788
268	7577	48762
269	7604	48726
270	7640	48744
271	7650	48605
272	7678	48572
273	7704	48533
274	7732	48503
275	7758	48465
276	7789	48450
277	7816	48417
278	7844	48390
279	7872	48359
280	7900	48331
281	7928	48302
282	7957	48280
283	7965	48126
284	7991	48091
285	8018	48057
286	8050	48050
287	8077	48015
288	8107	47998
289	8134	47967
290	8163	47940
291	8188	47897
292	8218	47881
293	8246	47852
294	8273	47820
295	8299	47778
296	8314	47672
297	8340	47638
298	8368	47607
299	8395	47576
300	8424	47550
301	8455	47540
302	8490	47553
303	8520	47535
304	8548	47509
305	8576	47477
306	8604	47449
307	8632	47425
308	8661	47401
309	8687	47361
310	8716	47335
311	8742	47298
312	8772	47280
313	8798	47244
314	8812	47142
315	8838	47102
316	8866	47071
317	8895	47051
318	8925	47034
319	8952	46999
320	8980	46973
321	9007	46939
322	9035	46912
323	9066	46901
324	9097	46884
325	9124	46851
326	9152	46824
327	9180	46796
328	9209	46777
329	9236	46744
330	9267	46727
331	9292	46687
332	9320	46658
333	9349	46636
334	9376	46604
335	9403	46568
336	9432	46548
337	9459	46516
338	9490	46498
339	9516	46463
340	9544	46436
341	9572	46408
342	9599	46374
343	9628	46352
344	9656	46323
345	9685	46302
346	9714	46278
347	9741	46244
348	9773	46233
349	9800	46200
350	9828	46172
351	9856	46144
352	9884	46116
353	9912	46089
354	9940	46061
355	9969	46039
356	9999	46022
357	10025	45982
358	10054	45958
359	10083	45936
360	10111	45905
361	10138	45874
362	10167	45852
363	10195	45825
364	10225	45804
365	10254	45783
366	10282	45751
367	10307	45711
368	10338	45696
369	10364	45658
370	10392	45631
371	10421	45610
372	10449	45579
373	10477	45551
374	10505	45523
375	10530	45482
376	10556	45444
377	10581	45403
378	10608	45372
379	10634	45337
380	10663	45311
381	10690	45280
382	10718	45252
383	10744	45216
